date,mlsno,address,city,state,zipcode,price,beds,baths,sqft,latitude,longitude,pricepersqft,Property Type,Time on Redfin,HOA Dues,Year Built,Lot Size,Status,Community,lastselldate,lastprice,askingyoy,rent_real,rent,mortgage,pmi,hoa,prop_tax,prop_mgmnt,repairs,vacancy,capex,noi_monthly,NOI,DownPayment,ROI,caprate,zestimate,gestimate_5yr_yoy,gestimate_all_yoy,gestimate_sqft,gestimatecaprate,agentname,agentphone,url_mls,url_zillow,url_redfin,radius,PMT,condition,decision
2021-04-18 09:19:30.084888,6197769,3031 S RURAL Road 45 Tempe AZ 85282,Tempe,AZ,85282,175000,2,1.0,884,33.419448,-111.904494,197.96,Townhouse,0,0,0,0,Active,0,0,0,0.0,0,1400,701.0,74.81,0,99.17,140.0,28.0,70.0,70.0,287.02,3444.24,87.5,3936.27,1.97,176544,0.0,0.0,176800,126000,Michael Kent,480-459-7258,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20201215230434238426000000,https://www.zillow.com/homedetails/3031-S-Rural-Rd-APT-45-Tempe-AZ-85282/7590087_zpid/,nan,100,775.81,Ugly,maybe
2021-04-14 14:58:53.416801,6221229,2615 E OAKLEAF Drive Tempe AZ 85281,Tempe,AZ,85281,230000,3,2.0,1130,33.417646999999995,-111.905601,203.54,Townhouse,0,0,0,0,Active,0,0,0,0.0,0,1800,921.0,98.32,0,130.33,180.0,36.0,90.0,90.0,344.35,4132.2,115.0,3593.22,1.8,260160,0.0,0.0,226000,162000,Premier Broker Flex Atlanta Ga,nan,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210414132920337677000000,https://www.zillow.com/homedetails/2615-E-Oakleaf-Dr-Tempe-AZ-85281/7610206_zpid/,nan,100,1019.3199999999999,Ugly,maybe
2021-04-18 09:19:29.265778,6221180,1629 W HAZELWOOD Street Phoenix AZ 85015,Phoenix,AZ,85015,265000,4,2.5,1584,33.52261,-112.089088,167.3,Townhouse,0,210,0,0,Active,0,0,0,0.0,0,2200,1061.0,113.29,210,150.17,220.0,44.0,110.0,110.0,291.54,3498.48,132.5,2640.36,1.32,0,0.0,0.0,316800,176000,Tracy Van Ravensway,602-369-0229,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210402180120496057000000,https://www.zillow.com/homedetails/1629-W-Hazelwood-St-Phoenix-AZ-85015/7771528_zpid/,nan,100,1384.29,Ugly,maybe
2021-04-14 11:27:46.718781,6217065,310 W EARLL Drive 105 Phoenix AZ 85013,Phoenix,AZ,85013,154000,2,1.0,650,33.4843940734863,-112.079627990723,236.92,Townhouse,0,225,0,0,Active,0,2010-10-25,30000,16.28,0,1400,617.0,65.83,225,87.27,140.0,28.0,70.0,70.0,166.9,2002.8,77.0,2601.04,1.3,0,68531.0,52750.0,130000,102000,Brooke Castaneda,480-206-3658,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210405215243457062000000,https://www.zillow.com/homedetails/310-W-Earll-Dr-UNIT-105-Phoenix-AZ-85013/72291311_zpid/,nan,100,907.83,Good,no
2021-04-16 10:52:28.840107,6180338,1224 E EVERGREEN Street 127 Mesa AZ 85203,Mesa,AZ,85203,161900,2,2.0,883,33.441426,-111.819345,183.35,Townhouse,0,185,0,0,Active,0,2019-09-11,99900,30.63,0,1400,648.0,69.21,185,91.74,140.0,28.0,70.0,70.0,168.05,2016.6,80.95,2491.17,1.25,0,113660.0,107036.0,176600,105900,Michelle Gruender,602-390-0524,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210113005451032143000000,https://www.zillow.com/homedetails/1224-E-Evergreen-St-APT-127-Mesa-AZ-85203/7619481_zpid/,nan,100,902.21,Ugly,maybe
2021-04-17 08:18:15.104190,6223106,2133 W TURNEY Avenue 73C Phoenix AZ 85015,Phoenix,AZ,85015,160000,2,1.5,960,33.483621,-112.108904,166.67,Townhouse,0,200,0,0,Active,0,0,0,0.0,0,1400,641.0,68.4,200,90.67,140.0,28.0,70.0,70.0,161.93,1943.16,80.0,2428.95,1.21,0,0.0,0.0,192000,104000,Martha Navarro,623-341-6345,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210417021619397781000000,https://www.zillow.com/homedetails/2133-W-Turney-Ave-UNIT-73C-Phoenix-AZ-85015/7767498_zpid/,nan,100,909.4,Good,yes
2021-04-18 09:19:30.929033,6222726,720 S DOBSON Road 89 Mesa AZ 85202,Mesa,AZ,85202,209999,3,1.0,896,33.3969,-111.860089,234.37,Townhouse,0,241,0,0,Active,0,0,0,0.0,0,1800,841.0,89.77,241,119.0,180.0,36.0,90.0,90.0,203.23,2438.76,105.0,2322.63,1.16,168700,0.0,0.0,179200,135999,Gabriel Ostrovsky,480-390-8676,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210415202327352357000000,https://www.zillow.com/homedetails/720-S-Dobson-Rd-UNIT-89-Mesa-AZ-85202/7602738_zpid/,nan,100,1171.77,Good,yes
2021-04-14 11:28:11.412549,6203730,1224 E EVERGREEN Street 143 Mesa AZ 85203,Mesa,AZ,85203,160000,2,2.0,897,33.4321098327637,-111.80429077148399,178.37,Townhouse,0,145,0,0,Active,0,2005-06-21,105900,2.61,0,1400,641.0,68.4,145,90.67,140.0,28.0,70.0,70.0,216.93,2603.16,80.0,3253.95,1.63,0,380141.0,209735.0,179400,110000,Cynthia Stevens,480-329-4130,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210306221644900045000000,https://www.zillow.com/homedetails/1224-E-Evergreen-St-APT-143-Mesa-AZ-85203/7619497_zpid/,nan,100,854.4,Ugly,maybe
2021-04-14 11:28:51.594804,6205263,1061 S REVERE Mesa AZ 85210,Mesa,AZ,85210,376000,4,2.0,1481,33.389801,-111.83763700000002,253.88,Townhouse,0,0,0,0,Active,0,0,0,0.0,0,2200,1506,160.74,0,213.07,220,44,110,110,-53.81,-645.72,188.0,-343.47,-0.17,0,0,0,296200,199000,Jacqueline Moore,480-351-6622,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210310154512357456000000,1061 S REVERE Mesa AZ 85210,nan,100,1666.74,Good,maybe
2021-04-14 11:27:53.547034,6206063,6510 N 24TH Lane Phoenix AZ 85015,Phoenix,AZ,85015,209500,2,2.0,954,33.531764984130895,-112.111434936523,219.6,Townhouse,0,156,0,0,Active,0,1995-04-13,35500,6.82,0,1400,839,89.56,156,118.72,140,28,70,70,-41.28,-495.36,104.75,-472.9,-0.24,0,575641,151190,190800,109500,Brock Embree,602-638-2500,https://my.flexmls.com/douglas_fuller/search/contacts/20200131203056519997000000/newsfeeds/listings/20210306184429357605000000,https://www.zillow.com/homedetails/6510-N-24th-Ln-Phoenix-AZ-85015/7772900_zpid/,nan,100,1084.56,Ugly,maybe
